temperature,humidity,rainfall,region,season,crop
33.9,54.8,2703.8,15,rabi,coconut
27.3,45.9,1443.4,4,rabi,rice
32.3,55.1,555.1,13,kharif,cotton
34.9,43.0,563.5,13,kharif,groundnut
25.3,52.8,2218.6,1,rabi,barley
33.7,87.5,385.8,14,kharif,millet
34.3,42.1,743.8,6,rabi,wheat
26.9,66.6,154.1,14,summer,millet
21.3,61.0,708.4,9,kharif,cotton
20.3,76.0,843.8,5,rabi,sugarcane
31.9,61.9,2006.4,11,rabi,rice
29.9,77.3,1871.9,12,rabi,spices
28.0,59.9,670.3,13,kharif,cotton
28.7,75.7,359.2,14,rabi,cumin
29.6,63.2,2074.8,2,kharif,maize
22.8,57.0,548.1,13,kharif,cotton
20.6,40.2,1736.1,1,kharif,maize
24.4,46.5,3492.2,15,rabi,coconut
29.5,69.2,849.4,5,rabi,wheat
21.5,68.0,874.6,9,rabi,soybean
24.5,85.8,2123.8,1,summer,maize
25.2,89.4,992.3,5,summer,sugarcane
30.8,51.4,826.5,4,summer,wheat
33.5,76.3,1249.6,2,rabi,maize
21.1,42.8,1451.6,1,rabi,barley
32.4,74.8,1456.9,5,summer,wheat
21.2,87.0,1325.9,2,kharif,fruits
22.2,81.9,2467.8,2,summer,rice
28.1,52.2,1904.4,2,kharif,maize
28.4,53.3,1098.4,5,kharif,sugarcane
33.9,69.2,2150.1,2,summer,tea
21.6,76.5,1444.3,1,rabi,potato
25.5,89.6,1387.8,3,kharif,rice
27.0,54.1,778.0,13,kharif,groundnut
30.6,55.8,921.3,8,summer,millet
34.1,66.1,649.2,6,kharif,rice
27.9,86.6,1226.9,3,rabi,jute
31.4,77.0,314.1,14,summer,cumin
24.4,43.7,2463.2,12,rabi,rice
26.8,56.4,875.3,4,summer,wheat
33.3,45.9,1619.0,11,rabi,rice
28.8,76.4,1031.3,9,kharif,soybean
25.8,69.1,320.8,14,kharif,millet
25.5,43.1,1935.0,12,summer,rice
34.0,64.9,2058.4,15,summer,spices
21.7,48.0,882.1,3,rabi,rice
23.0,40.4,1089.5,4,rabi,rice
34.5,70.5,966.0,6,rabi,rice
27.4,84.7,348.1,14,summer,millet
34.4,43.7,870.9,10,rabi,groundnut
21.2,42.9,1217.5,4,rabi,rice
32.5,86.5,912.6,6,rabi,mustard
22.3,77.3,1712.0,11,summer,rice
21.1,81.7,2298.1,15,kharif,spices
27.8,65.3,1490.4,4,kharif,wheat
26.6,86.0,1604.9,12,summer,spices
32.7,59.7,772.5,9,rabi,soybean
32.8,44.6,1159.9,3,kharif,jute
34.8,69.0,802.3,8,summer,millet
21.8,45.2,811.3,10,kharif,groundnut
23.3,59.4,1960.9,1,rabi,barley
27.9,64.2,1258.0,4,rabi,rice
26.3,60.7,669.4,13,summer,groundnut
25.8,68.0,2951.6,12,summer,spices
25.6,48.4,879.9,9,rabi,soybean
21.3,49.7,651.6,10,summer,pulses
25.2,49.5,924.9,9,kharif,soybean
26.3,73.3,642.4,13,rabi,groundnut
34.0,82.3,631.3,13,rabi,groundnut
29.8,76.6,318.8,14,rabi,cumin
22.5,88.0,841.6,10,kharif,pulses
32.8,85.8,545.3,13,summer,groundnut
21.8,54.3,1104.0,4,rabi,rice
23.8,63.7,1590.0,12,summer,rice
27.9,73.1,679.8,7,rabi,pulses
21.4,79.3,1031.6,5,summer,wheat
28.8,62.6,2667.6,11,summer,rice
25.2,71.1,624.8,7,rabi,maize
22.3,82.4,2596.5,11,kharif,rice
20.2,66.2,922.8,6,rabi,rice
32.5,86.1,1058.3,3,summer,rice
22.6,50.1,661.3,6,summer,wheat
22.0,54.7,1566.8,2,kharif,maize
23.1,60.8,1243.2,5,kharif,sugarcane
25.4,49.2,1138.3,4,rabi,wheat
20.1,73.2,2988.7,15,summer,coconut
34.8,73.1,2834.8,15,kharif,spices
25.6,68.3,1103.7,8,summer,pulses
20.2,89.1,2558.3,15,rabi,spices
24.7,74.5,1130.6,9,summer,cotton
32.4,66.5,689.4,6,rabi,wheat
33.9,73.4,1070.2,4,rabi,wheat
32.3,87.2,811.2,10,kharif,groundnut
30.4,80.3,531.3,6,kharif,rice
30.1,85.1,837.5,7,summer,maize
27.0,76.4,654.4,10,summer,pulses
22.8,61.6,872.7,10,kharif,millet
29.7,43.8,823.9,4,rabi,wheat
24.0,56.0,912.5,8,rabi,pulses
32.0,73.9,1274.6,1,rabi,potato
34.2,88.7,798.3,9,summer,cotton
25.8,40.9,154.9,14,kharif,cumin
21.1,85.0,948.3,9,rabi,cotton
27.1,66.3,712.4,10,kharif,pulses
24.9,49.9,999.7,8,summer,pulses
21.1,87.4,839.3,10,rabi,groundnut
33.4,59.4,782.2,10,summer,millet
20.2,50.1,1562.4,2,rabi,rice
28.5,66.7,2810.6,12,rabi,rice
32.0,61.3,1063.0,4,kharif,wheat
31.6,43.3,953.2,8,rabi,millet
31.4,58.9,979.4,3,kharif,jute
27.0,67.2,246.9,14,rabi,millet
32.5,52.0,1156.3,9,summer,cotton
21.0,87.1,181.4,14,summer,millet
24.4,61.6,1167.8,8,kharif,pulses
26.8,53.7,584.1,13,summer,cotton
34.5,49.1,843.4,7,summer,pulses
24.8,81.1,903.3,5,rabi,sugarcane
33.3,50.6,1204.1,1,rabi,maize
34.2,84.5,1047.5,8,summer,millet
26.6,81.8,1894.4,1,summer,barley
25.5,88.0,859.8,9,summer,cotton
22.5,85.5,2925.1,11,kharif,rice
33.0,67.8,497.3,13,rabi,cotton
26.9,86.1,1408.3,1,summer,maize
20.8,48.0,3353.0,15,kharif,coconut
29.6,49.9,785.2,8,kharif,millet
33.8,53.6,2628.3,12,rabi,rice
20.8,83.0,1246.1,4,rabi,wheat
23.4,63.5,1015.6,4,summer,wheat
32.5,66.7,1488.7,5,kharif,sugarcane
34.1,70.9,2737.5,15,rabi,coconut
26.5,51.2,318.9,14,summer,cumin
27.8,65.2,398.3,14,kharif,cumin
20.2,88.6,327.5,14,rabi,cumin
22.2,64.3,1021.6,9,rabi,cotton
24.7,52.3,1468.1,4,kharif,rice
32.0,61.2,840.5,5,rabi,sugarcane
24.7,52.8,1102.3,8,kharif,millet
31.8,56.9,1333.1,3,kharif,jute
24.0,63.3,2044.7,2,kharif,fruits
25.7,64.4,934.0,5,rabi,wheat
30.6,42.1,3004.6,15,rabi,coconut
21.8,58.3,1388.1,3,rabi,rice
23.9,49.0,1052.9,5,rabi,sugarcane
28.5,51.0,1367.6,3,summer,jute
35.0,55.1,1231.5,3,rabi,rice
29.7,57.1,1560.8,2,summer,tea
23.2,85.5,1815.1,1,kharif,maize
32.9,80.0,830.0,3,summer,rice
34.3,46.0,992.3,6,summer,mustard
21.0,79.8,1612.0,1,rabi,wheat
24.3,83.8,1493.6,2,summer,tea
29.1,73.6,876.6,6,rabi,wheat
30.0,81.1,740.6,13,summer,cotton
31.1,44.1,765.6,9,summer,cotton
34.9,72.8,767.8,9,rabi,cotton
29.0,86.2,666.2,9,kharif,cotton
26.1,48.1,2073.0,1,rabi,maize
29.0,62.4,692.4,9,kharif,soybean
29.5,40.4,2368.9,11,rabi,rice
29.0,73.4,953.2,8,rabi,millet
20.7,89.1,903.1,8,summer,millet
24.6,44.1,1966.6,12,summer,rice
20.4,44.7,543.3,6,kharif,wheat
32.3,88.1,2377.2,1,kharif,maize
27.5,72.1,3046.7,15,summer,coconut
25.8,57.4,1672.3,1,summer,maize
30.7,57.3,1456.5,4,kharif,rice
29.8,58.4,2381.3,2,kharif,fruits
26.7,70.7,1087.5,7,summer,rice
24.8,88.2,269.2,14,kharif,cumin
27.8,47.7,1128.1,5,summer,wheat
26.0,86.5,1161.1,8,rabi,pulses
22.6,87.3,800.2,7,rabi,pulses
23.5,52.8,438.5,13,summer,cotton
32.2,87.5,158.7,14,summer,millet
21.6,58.4,574.7,13,rabi,groundnut
32.1,77.0,555.3,6,summer,rice
30.2,88.9,2814.0,11,summer,rice
30.1,53.0,2513.5,15,rabi,coconut
20.6,48.7,2252.5,12,kharif,coconut
24.6,43.2,1063.3,3,summer,rice
22.0,66.7,1038.7,8,summer,pulses
32.4,70.6,836.1,3,summer,rice
30.1,41.9,1005.2,3,rabi,jute
31.3,49.3,184.1,14,summer,millet
23.4,65.9,471.2,13,kharif,cotton
21.9,53.8,859.2,4,summer,wheat
28.4,82.9,610.0,10,summer,pulses
20.3,86.7,945.3,9,summer,cotton
32.7,46.1,2758.8,15,rabi,spices
21.5,57.4,940.2,8,kharif,millet
24.8,56.4,1525.9,12,rabi,rice
25.0,59.0,1443.2,2,kharif,tea
33.3,61.3,745.6,13,summer,groundnut
20.4,86.8,1002.6,9,kharif,soybean
29.8,48.0,1324.9,3,summer,rice
29.9,47.3,2932.8,11,rabi,coconut
21.8,52.9,2099.6,2,summer,maize
33.5,71.3,2302.1,15,rabi,spices
22.2,62.0,599.7,10,kharif,millet
24.3,82.5,2047.0,11,summer,rice
26.9,84.0,1975.0,12,rabi,spices
30.2,68.9,905.1,8,kharif,millet
34.5,42.3,494.0,13,rabi,groundnut
29.7,47.4,872.8,7,rabi,pulses
32.2,74.9,674.3,8,summer,millet
23.6,79.7,1686.0,12,rabi,rice
22.0,88.0,2246.4,15,kharif,spices
26.6,62.1,1138.1,4,summer,rice
32.1,71.6,2258.5,2,kharif,rice
27.2,57.4,734.7,8,rabi,pulses
23.8,54.2,2563.0,15,kharif,spices
31.2,83.4,797.9,8,summer,pulses
34.0,71.2,540.7,13,kharif,cotton
23.0,61.0,857.0,4,kharif,rice
27.3,52.9,603.7,10,rabi,groundnut
25.4,80.0,879.0,9,summer,cotton
30.5,44.3,668.4,7,rabi,rice
33.5,43.2,742.5,7,summer,rice
30.9,77.3,2061.4,15,summer,coconut
30.3,71.8,599.2,6,kharif,rice
25.6,75.4,2552.4,15,kharif,coconut
33.2,70.8,1067.6,3,kharif,jute
30.1,60.5,635.7,10,rabi,millet
34.5,69.8,530.7,13,rabi,groundnut
22.1,42.5,718.5,7,summer,pulses
23.7,64.4,309.5,14,summer,cumin
29.8,67.3,792.7,13,kharif,groundnut
29.5,58.7,1588.9,1,rabi,wheat
33.7,79.8,1593.8,12,summer,spices
23.5,80.3,1293.5,3,rabi,rice
26.1,76.4,897.6,9,rabi,soybean
22.3,87.7,791.9,9,rabi,soybean
22.0,54.2,570.0,13,kharif,groundnut
26.5,78.4,1076.7,3,summer,rice
25.9,65.7,1525.5,11,kharif,coconut
34.9,77.7,1288.3,2,rabi,fruits
34.1,59.8,832.2,9,kharif,cotton
22.1,51.8,2364.5,2,rabi,rice
27.4,44.1,2461.6,12,summer,rice
21.6,53.2,1107.9,4,summer,rice
21.0,40.8,2409.9,11,rabi,rice
20.3,64.6,1682.2,2,rabi,rice
31.8,57.5,3220.8,15,summer,coconut
25.8,67.5,1907.6,12,summer,spices
24.5,75.7,1225.2,2,summer,rice
24.4,61.7,1192.5,3,kharif,jute
30.7,46.3,568.5,6,kharif,wheat
21.8,81.1,983.3,6,kharif,mustard
22.8,62.9,1903.6,2,summer,fruits
27.7,68.7,2409.2,12,kharif,rice
24.4,43.7,1883.6,11,rabi,coconut
20.7,55.1,214.9,14,kharif,millet
26.3,53.9,3282.0,15,kharif,spices
23.4,45.9,822.7,4,kharif,wheat
31.3,50.3,610.8,10,summer,pulses
24.7,42.1,521.2,10,rabi,millet
24.8,75.4,1399.7,4,summer,wheat
21.9,66.4,2075.9,15,rabi,coconut
27.2,76.9,678.3,8,kharif,millet
30.7,58.0,2325.2,2,rabi,fruits
26.8,70.4,2437.3,15,rabi,coconut
34.2,65.8,2207.5,12,summer,coconut
28.0,43.5,798.7,10,summer,millet
31.5,52.2,1159.9,9,rabi,soybean
24.3,64.0,977.8,5,kharif,sugarcane
23.0,86.2,657.9,9,rabi,soybean
26.9,57.5,731.1,10,summer,groundnut
34.6,44.3,1047.1,5,kharif,sugarcane
33.5,86.5,1418.1,5,rabi,sugarcane
23.2,73.5,550.4,10,summer,millet
29.6,67.1,899.7,8,rabi,pulses
29.3,51.7,2052.7,12,kharif,spices
22.7,55.1,1749.2,12,summer,coconut
27.1,50.7,966.3,8,summer,pulses
26.0,41.4,812.4,9,rabi,cotton
22.9,47.5,272.3,14,summer,cumin
23.1,40.8,3465.7,15,kharif,coconut
27.7,63.1,974.9,4,rabi,wheat
24.6,69.8,868.0,4,rabi,rice
27.9,61.1,648.4,7,rabi,pulses
32.8,80.7,965.4,9,summer,cotton
22.2,62.7,1370.7,4,rabi,wheat
21.6,46.5,662.8,10,rabi,pulses
31.2,60.1,1171.7,3,kharif,rice
29.5,54.5,1955.1,11,kharif,coconut
28.0,68.8,2336.9,15,kharif,coconut
32.7,65.8,692.6,10,rabi,millet
33.0,41.2,681.6,10,kharif,pulses
32.1,64.0,2054.0,2,summer,fruits
26.0,73.4,614.2,7,summer,maize
30.4,87.3,1039.3,4,rabi,wheat
30.1,84.1,2479.3,15,kharif,spices
26.1,58.5,720.9,6,summer,rice
24.9,41.2,877.6,10,rabi,millet
24.6,68.8,689.7,13,summer,cotton
20.3,60.2,989.3,4,summer,wheat
33.1,81.6,847.4,6,rabi,mustard
22.9,52.2,2172.6,1,rabi,potato
20.6,67.7,2337.9,11,rabi,rice
26.6,81.7,586.4,10,rabi,groundnut
20.5,40.1,2272.7,2,rabi,tea
31.3,71.9,1324.8,3,kharif,rice
32.0,65.0,162.1,14,rabi,cumin
21.2,50.6,708.3,8,summer,millet
25.2,71.8,795.7,8,summer,pulses
33.4,63.7,795.0,7,kharif,rice
22.8,40.4,2670.6,15,kharif,coconut
31.9,56.0,3448.5,15,kharif,spices
20.8,63.3,550.2,13,kharif,cotton
26.0,47.6,1787.7,2,rabi,fruits
30.3,57.8,1325.7,2,rabi,tea
24.9,48.9,1318.1,2,kharif,tea
33.4,47.2,693.1,8,kharif,pulses
34.3,57.3,778.8,9,rabi,cotton
24.5,65.9,889.1,5,summer,sugarcane
20.9,68.0,1000.7,9,rabi,soybean
22.4,89.1,1042.9,4,summer,rice
33.0,74.7,488.6,13,summer,cotton
32.7,59.6,1920.9,2,summer,rice
27.0,62.3,567.4,10,kharif,groundnut
31.4,62.9,2319.2,15,kharif,spices
23.0,56.5,588.9,6,rabi,mustard
20.2,49.9,2694.0,15,summer,spices
34.3,85.5,2059.2,2,summer,rice
22.8,61.9,193.3,14,rabi,cumin
33.4,83.2,2666.7,12,rabi,rice
25.6,54.1,889.1,10,rabi,groundnut
27.0,64.6,2220.1,15,rabi,spices
27.7,40.3,1886.0,1,summer,maize
22.6,58.6,677.3,7,rabi,maize
25.0,84.6,2100.6,2,summer,fruits
25.3,62.6,876.9,8,kharif,millet
24.9,49.1,520.7,10,rabi,millet
25.7,79.6,710.6,8,kharif,millet
30.0,56.9,949.8,3,kharif,rice
26.3,55.9,682.2,9,kharif,soybean
33.9,83.3,1963.6,11,summer,rice
27.6,57.7,1508.1,12,rabi,coconut
30.5,57.6,1552.1,12,summer,coconut
32.2,82.8,604.6,13,summer,groundnut
27.5,42.4,1044.6,9,rabi,soybean
24.8,54.9,1658.8,11,summer,coconut
26.9,40.1,950.2,3,kharif,jute
30.5,40.0,2308.9,1,kharif,wheat
33.7,49.8,131.9,14,summer,cumin
32.0,54.3,1862.3,11,rabi,rice
22.2,42.7,498.4,13,summer,groundnut
25.5,84.3,701.1,8,kharif,millet
23.5,62.4,1512.6,1,summer,barley
20.8,42.1,617.1,13,kharif,cotton
23.8,58.3,744.3,6,summer,mustard
27.4,57.4,2609.5,15,rabi,coconut
26.8,83.7,962.7,7,summer,rice
22.6,58.8,668.5,13,summer,cotton
34.6,86.8,1546.3,11,summer,coconut
32.1,77.1,859.1,10,kharif,pulses
30.7,52.7,682.1,7,rabi,maize
22.9,79.7,625.7,10,summer,groundnut
33.1,75.9,685.1,10,rabi,pulses
30.9,73.1,1959.3,2,summer,rice
20.0,46.0,244.9,14,summer,cumin
26.5,47.3,607.1,6,rabi,wheat
28.4,63.3,1591.6,1,rabi,maize
31.2,88.3,705.4,6,summer,wheat
25.2,46.4,807.4,8,summer,millet
27.6,71.7,894.5,4,rabi,rice
28.5,45.1,919.4,6,rabi,mustard
23.4,54.0,1072.9,9,summer,cotton
30.4,56.3,755.1,10,kharif,groundnut
28.4,74.1,567.3,10,summer,groundnut
27.2,63.3,1990.6,1,rabi,barley
20.0,40.8,1024.1,8,kharif,pulses
33.2,62.0,2801.9,11,kharif,rice
25.8,76.3,784.5,13,kharif,cotton
31.8,53.5,690.6,13,rabi,cotton
34.3,71.2,1035.4,8,rabi,pulses
21.7,84.6,1195.3,9,rabi,soybean
27.1,54.2,531.2,13,summer,groundnut
29.6,69.2,805.7,9,summer,soybean
25.2,56.7,1204.5,4,summer,rice
33.7,48.8,419.0,13,summer,groundnut
32.3,88.6,935.5,6,kharif,mustard
21.2,65.6,613.3,9,summer,cotton
29.4,73.5,775.2,7,kharif,rice
21.2,76.7,2072.4,11,summer,rice
24.1,59.9,270.7,14,summer,cumin
21.9,82.2,865.3,9,summer,soybean
22.6,44.9,884.2,8,summer,millet
27.3,54.8,2139.4,1,kharif,potato
34.5,65.7,867.1,5,rabi,sugarcane
30.4,62.6,1218.6,3,kharif,jute
21.0,56.3,2210.1,2,summer,maize
22.3,63.2,1178.5,9,kharif,cotton
34.9,47.4,1556.5,2,rabi,fruits
26.8,77.2,1233.0,3,summer,rice
31.3,54.8,893.4,6,kharif,rice
30.8,40.0,813.0,10,summer,millet
21.9,61.4,620.5,10,kharif,millet
26.3,58.5,175.7,14,kharif,millet
30.4,70.3,521.2,13,summer,cotton
33.8,63.1,909.0,5,kharif,wheat
29.6,59.5,559.7,6,rabi,wheat
33.8,50.5,1046.1,8,rabi,pulses
30.5,51.7,1753.5,1,kharif,potato
32.5,52.6,1098.3,3,rabi,rice
20.0,69.0,792.4,13,rabi,groundnut
24.3,59.7,1627.6,12,kharif,coconut
32.0,47.6,645.0,6,kharif,rice
33.9,44.6,1456.0,5,summer,sugarcane
21.2,80.9,3147.1,15,summer,coconut
30.2,66.6,1152.5,7,summer,pulses
26.6,43.2,1356.9,1,kharif,barley
27.8,71.8,1159.1,9,kharif,cotton
25.0,52.2,804.0,5,rabi,sugarcane
22.8,50.4,112.3,14,kharif,millet
25.5,76.1,803.3,4,rabi,wheat
23.0,45.4,1098.1,9,rabi,soybean
21.5,65.1,203.3,14,kharif,millet
26.1,44.0,638.4,13,summer,groundnut
21.0,68.0,315.3,14,summer,millet
33.2,60.0,1087.4,9,kharif,cotton
33.5,46.8,982.2,6,rabi,rice
26.1,42.8,842.9,6,rabi,rice
32.4,89.0,2401.6,12,rabi,spices
28.5,81.9,804.5,9,kharif,soybean
22.8,78.6,902.9,9,kharif,cotton
29.6,65.6,1303.7,4,rabi,wheat
26.2,70.5,875.3,9,rabi,soybean
21.9,73.9,916.6,3,summer,rice
24.8,49.6,506.7,6,summer,wheat
24.1,78.3,204.3,14,rabi,millet
33.0,61.6,2058.4,2,summer,tea
27.0,58.5,2461.3,1,kharif,maize
20.1,52.9,630.4,10,summer,pulses
26.4,63.3,2051.2,2,summer,tea
23.0,50.4,887.3,4,kharif,wheat
25.8,55.2,2542.6,11,summer,coconut
31.2,53.3,1121.6,7,summer,maize
31.9,41.2,759.1,10,summer,groundnut
32.7,65.0,821.6,6,kharif,wheat
29.1,67.5,2334.7,12,kharif,spices
34.1,53.3,2782.6,12,kharif,coconut
30.4,86.2,1109.3,7,summer,maize
21.9,50.3,795.7,13,rabi,groundnut
31.4,71.8,528.2,6,kharif,rice
26.3,57.2,1240.3,5,rabi,sugarcane
30.2,55.9,2603.2,12,summer,coconut
24.3,52.8,893.0,5,kharif,wheat
22.3,61.0,802.7,10,summer,pulses
27.3,67.8,792.9,6,kharif,mustard
21.0,74.8,2022.5,1,rabi,wheat
27.0,58.1,792.3,8,summer,millet
28.3,69.1,1895.7,2,summer,fruits
21.1,51.6,1197.1,9,kharif,soybean
30.5,53.1,925.0,4,summer,rice
24.4,87.7,939.1,3,summer,rice
30.5,81.8,1007.0,9,rabi,soybean
20.4,47.7,454.6,13,kharif,groundnut
32.4,74.0,1026.3,3,rabi,jute
22.7,68.3,650.3,6,summer,mustard
29.2,79.1,2879.1,12,summer,coconut
21.0,60.2,1072.7,9,summer,soybean
30.7,70.8,502.9,6,kharif,wheat
34.6,66.9,1902.6,11,kharif,coconut
25.6,62.5,1205.5,3,kharif,rice
21.4,81.3,2936.9,12,kharif,coconut
34.7,83.5,836.4,9,summer,cotton
29.2,76.4,815.2,3,summer,jute
28.6,53.1,890.2,4,rabi,wheat
30.8,46.1,1202.1,4,kharif,rice
34.8,57.3,946.6,4,rabi,rice
21.9,81.8,196.4,14,rabi,cumin
30.7,89.5,565.8,6,kharif,rice
34.7,74.0,842.5,3,summer,rice
31.7,53.8,1016.8,8,kharif,pulses
24.7,64.8,603.9,13,rabi,cotton
33.4,60.1,1490.6,1,rabi,barley
29.2,42.5,202.2,14,kharif,millet
30.3,76.1,711.4,9,rabi,soybean
27.0,71.9,879.8,10,rabi,pulses
25.9,43.9,2473.0,2,summer,tea
22.6,66.8,759.9,10,summer,pulses
30.0,71.2,1461.0,4,kharif,wheat
25.0,46.1,3261.2,15,kharif,coconut
28.2,56.1,512.9,13,summer,cotton
26.5,85.2,1079.5,9,kharif,cotton
25.2,52.5,309.8,14,summer,cumin
30.3,49.1,1144.7,3,summer,jute
28.9,52.0,817.6,10,kharif,millet
32.4,84.2,825.8,10,kharif,groundnut
24.9,85.3,1755.6,11,kharif,rice
28.0,59.4,2424.1,1,rabi,potato
20.6,73.1,1586.5,11,summer,coconut
28.6,42.0,3322.2,15,kharif,spices
24.1,63.6,1101.4,5,summer,wheat
28.2,81.4,1016.5,3,kharif,rice
28.1,68.2,945.3,9,kharif,cotton
29.4,87.0,954.9,4,rabi,wheat
23.2,73.7,1259.1,1,summer,wheat
30.8,44.0,1330.0,2,summer,rice
20.4,53.3,1114.2,9,kharif,cotton
28.3,83.8,121.2,14,kharif,cumin
34.6,74.0,1959.7,11,summer,coconut
24.2,80.9,958.3,7,rabi,pulses
24.3,60.8,930.8,9,rabi,soybean
33.1,45.0,782.2,6,summer,wheat
30.0,79.1,657.3,6,summer,mustard
34.2,67.1,502.6,13,kharif,groundnut
28.3,52.2,2289.2,11,summer,coconut
28.8,89.2,2170.0,12,summer,coconut
33.9,65.8,1762.9,2,kharif,rice
29.2,41.5,857.2,10,rabi,groundnut
21.4,59.4,1459.3,1,rabi,barley
26.3,79.2,1632.8,1,kharif,potato
34.6,89.1,783.2,13,summer,cotton
33.3,63.2,554.4,6,summer,rice
23.7,67.9,1007.4,5,rabi,sugarcane
30.5,67.8,2110.5,11,rabi,coconut
26.7,88.3,2796.8,15,rabi,spices
31.2,71.4,773.7,8,summer,pulses
24.6,76.6,2087.1,15,kharif,coconut
22.5,48.9,3072.4,15,kharif,spices
27.2,54.1,897.3,4,kharif,rice
27.3,43.6,3390.8,15,kharif,coconut
31.4,89.9,639.0,8,rabi,pulses
34.9,49.7,2050.2,12,rabi,spices
28.0,85.9,1152.5,4,kharif,wheat
33.8,65.0,2153.9,15,summer,coconut
20.3,67.7,2378.1,1,rabi,barley
31.8,56.9,1049.6,3,rabi,jute
22.2,69.2,1271.8,5,summer,sugarcane
34.0,56.7,1928.3,1,summer,potato
34.2,81.3,329.5,14,rabi,cumin
23.3,74.5,963.6,9,rabi,soybean
27.7,68.0,248.3,14,kharif,cumin
23.3,68.6,1719.2,2,rabi,tea
31.1,45.5,638.5,10,kharif,millet
28.0,84.7,1059.9,3,summer,rice
22.1,74.1,1266.1,5,summer,wheat
23.5,42.8,2239.5,15,kharif,coconut
28.7,46.5,1020.2,3,summer,rice
26.9,43.9,770.8,13,rabi,groundnut
25.2,88.8,952.5,6,rabi,wheat
